score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.167;1;1.35;34503;30990;"BongLab Bong W06 Fat Candy 25cm - Rosado";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-w06-fat-candy-25-cm?variant=Rosado"
0.167;1;3.88;3007;26990;"Calvo Glass Bong Straight Tube Lite 26cm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-bong-straight-tube-lite-26cm"
0.166;1;5.75;34751;39990;"Calvo Glass Implosion Drop Rig 23cm - Morado";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-implosion-drop-rig-23cm?variant=Morado"
0.166;1;8.13;35030;56541;"Calvo Glass Bong Rig Monster 21 cm - Naranja";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-rig-monster-21cm?variant=Naranja"
0.166;1;4.03;3005;27992;"Calvo Glass Bong Straight Tube American 26cm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-bong-straight-tube-american-26cm"
0.166;1;8.76;13191;60891;"Calvo Glass Beaker Tree Perc XL 40cm";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass";"https://fumetas.cl/calvo-glass-beaker-tree-perc-40cm"
0.165;1;12.71;35710;6990;"Encendedor Clipper Metálico Classic Cars - Plateado";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-metalico-clasicc-cars?variant=Plateado"
0.165;1;2.81;37484;22990;"Bonglab Bong KS10 Little Buchner 25cm - Azul";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong";"https://fumetas.cl/smokeshop/bongs-y-pipas/bongs/bonglab-ks10-little-buchner?variant=Azul"
0.165;1;3.60;35590;24990;"Calvo Wax Set Dab Rig + Banger + Carb Cap - Azul";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo azul";"https://fumetas.cl/calvo-wax-set-dab-rig-banger-carb-cap?variant=Azul"
0.165;1;12.71;35711;6990;"Encendedor Clipper Metálico Classic Cars - Dorado";10318;3;550;"Repuesto Clipper Pedernal Encendedor (3u) | PIRANHA";"encendedor clipper";"https://fumetas.cl/encendedor-clipper-metalico-clasicc-cars?variant=Dorado"
0.165;1;1.83;37486;22990;"Bonglab Bong KS10 Little Buchner 25cm - Ámbar";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/smokeshop/bongs-y-pipas/bongs/bonglab-ks10-little-buchner?variant=%C3%81mbar"
0.165;1;1.35;34506;30990;"BongLab Bong W06 Fat Candy 25cm - Ámbar";10461;2;41990;"Bonglab Cobra Rig Kit Extractos";"bonglab bong";"https://fumetas.cl/bonglab-bong-w06-fat-candy-25-cm?variant=%C3%81mbar"
