score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.284;1;2.51;16019;1990;"Blunt Wrap Blueberry Lion Rolling Circus";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/1283/blunt-wrap-blueberry-lion-rolling-circus.html"
0.283;1;2.51;81049;1990;"Blunt Wrap Chocolate Lion Rolling Circus";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/1286/blunt-wrap-chocolate-lion-rolling-circus.html"
0.280;1;149.25;15915;796;"TEMP/RMP Gasket - DaVinci MIQRO";10891;3;118800;"Vaporizador DaVinci Miqro";"davinci miqro";"https://piranha.cl/inicio/2446/temprmp-gasket-davinci-miqro.html"
0.279;1;1.14;15923;34990;"Encendedor Zippo Iron Stone";10277;2;39990;"Encendedor Zippo Fire Heart Design";"encendedor zippo";"https://piranha.cl/inicio/6263/encendedor-zippo-iron-stone.html"
0.277;1;0.00;15805;1990;"Filtros OCB Virgin Slim 6mm (150u)";11046;2;0;"OCB Boquillas Filtro de Carbón Activado 50 uds.";"filtros ocb";"https://piranha.cl/inicio/6495/filtros-ocb-virgin-slim-6mm-150u.html"
0.275;1;2.51;15684;1990;"Blunt Wrap Grape Lion Rolling Circus | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/7776/blunt-hemp-wrap-grape-lion-rolling-circus-2u.html"
0.273;1;0.00;11211;1990;"Filtros OCB ECO Slim 6mm (120u)";11046;2;0;"OCB Boquillas Filtro de Carbón Activado 50 uds.";"filtros ocb";"https://piranha.cl/inicio/6494/filtros-ocb-eco-slim-6mm-120u.html"
0.269;1;2.51;15958;1990;"Blunt Wrap Tequila Lion Rolling Circus | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/6888/blunt-wrap-tequila.html"
0.269;1;4.07;15734;1226;"Papelillo Crazy Coco Lion Rolling Circus";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/1474/papelillo-crazy-coco-1-14-lion-rolling-circus.html"
0.268;1;1.71;11145;8541;"Moledor Metálico Lion Rolling Circus 5cm 3 Partes | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/7794/moledor-metalico-lion-rolling-circus-5cm-3-partes.html"
0.267;1;0.00;15806;1990;"Filtros OCB Slim Engomado 6mm (150u)";11046;2;0;"OCB Boquillas Filtro de Carbón Activado 50 uds.";"filtros ocb";"https://piranha.cl/inicio/6496/filtros-ocb-slim-engomado-6mm-150u.html"
0.264;1;1.36;16137;1990;"Blunt Wrap Lion Rolling Circus";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/1487/friendly-url-autogeneration-failed.html"
0.262;1;6.01;15778;4990;"Pack Cepillos de Limpieza Storz & Bickel (3u)| PIRANHA";10502;2;29990;"Storz & Bickel Estuche Crafty Case";"storz bickel";"https://piranha.cl/inicio/7834/pack-cepillos-de-limpieza-storz-bickel-3u.html"
0.262;1;4.07;80788;1226;"Papelillo Funky Chocolate 1 1/4 Lion Rolling Circus | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/6896/papelillo-funky-chocolate-1-14-lion-rolling-circus.html"
0.259;1;1.57;16185;4242;"Backpack Lion Rolling Circus| PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/7786/backpack-lion-rolling-circus.html"
0.258;1;4.07;379;1226;"Papelillo Mind Mint 1 1/4 Lion Rolling Circus | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/6897/papelillo-mind-mint-1-14-lion-rolling-circus.html"
0.258;1;1.66;16036;4491;"Contenedor Tainer Lion Rolling Circus";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/604/tainer-lion-rolling-circus-color-aleatorio.html"
0.257;1;1.13;16059;790;"Bolsita Hermetica Antiolor - Soulblime | PIRANHA";10527;2;700;"Soulblime Bolsa Hermética Diseños";"hermetica soulblime";"https://piranha.cl/inicio/8201/bolsita-hermetica-antiolor-soulblime.html"
0.256;1;2.51;15929;1990;"Blunt Wrap Bubble Gum Lion Rolling Circus | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/6887/blunt-wrap-bubble-gum.html"
0.255;1;2.00;16101;2490;"Cajita de Almacenamiento Mini Tin Lion Rolling Circus | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/7779/cajita-de-almacenamiento-mini-tin-lion-rolling-circus.html"
0.255;1;1.25;11147;3990;"Moledor Acrílico Lion Rolling Circus 6cm 3 partes | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/7798/moledor-acrilico-lion-rolling-circus-6cm-3-partes.html"
0.254;1;4.07;15763;1226;"Papelillo Chewing Madness 1 1/4 Lion Rolling Circus | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/6895/papelillo-chewing-madness-1-14-lion-rolling-circus.html"
0.254;1;1.60;11146;7981;"Moledor Metálico Gold Lion Rolling Circus 5cm 3 Partes | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/7795/moledor-metalico-gold-lion-rolling-circus-5cm-3-partes.html"
0.253;1;120.24;15778;4990;"Pack Cepillos de Limpieza Storz & Bickel (3u)| PIRANHA";5745;2;599990;"Volcano Hybrid Onyx Edition-Storz & Bickel";"storz bickel";"https://piranha.cl/inicio/7834/pack-cepillos-de-limpieza-storz-bickel-3u.html"
0.252;1;1.08;485;2490;"Filtro Prerolled Lion Rolling Circus";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/605/filtro-prerolled-6mm-lion-rolling-circus-505u.html"
0.250;1;4.51;254;22491;"Figura Lion Rolling Circus Bobblehead Ruby | PIRANHA";10564;2;4990;"Bandeja Lion Rolling Circus Tattoo Pequeña";"lion rolling circus";"https://piranha.cl/inicio/7787/figura-lion-rolling-circus-bobblehead-ruby.html"
0.249;1;1.36;16020;1990;"Blunt Wrap Natural Lion Rolling Circus";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/1284/blunt-wrap-natural-lion-rolling-circus.html"
0.249;1;1.36;16021;1990;"Blunt Wrap Strawberry Lion Rolling Circus";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/1287/blunt-wrap-strawberry-lion-rolling-circus.html"
0.249;1;1.25;11211;1990;"Filtros OCB ECO Slim 6mm (120u)";10851;2;1590;"OCB 3 Conos Pre-enrolados King Size Premium Slim";"ocb slim";"https://piranha.cl/inicio/6494/filtros-ocb-eco-slim-6mm-120u.html"
0.248;1;1.36;16019;1990;"Blunt Wrap Blueberry Lion Rolling Circus";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/1283/blunt-wrap-blueberry-lion-rolling-circus.html"
0.248;1;1.99;15752;38242;"Bong Classy Bonglab | PIRANHA";11010;2;75990;"Bonglab The Sheikh 42cm Azul";"bong bonglab";"https://piranha.cl/inicio/6051/bong-classy-bonglab-color-a-eleccion.html"
0.248;1;1.36;81049;1990;"Blunt Wrap Chocolate Lion Rolling Circus";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/1286/blunt-wrap-chocolate-lion-rolling-circus.html"
0.244;1;1.25;15806;1990;"Filtros OCB Slim Engomado 6mm (150u)";10851;2;1590;"OCB 3 Conos Pre-enrolados King Size Premium Slim";"ocb slim";"https://piranha.cl/inicio/6496/filtros-ocb-slim-engomado-6mm-150u.html"
0.242;1;1.36;15684;1990;"Blunt Wrap Grape Lion Rolling Circus | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/7776/blunt-hemp-wrap-grape-lion-rolling-circus-2u.html"
0.239;1;4.19;5623;4990;"Moledor Plástico Bulldog 6cm 2 Partes";10188;2;20900;"Moledor Metálico Bulldog Swing Giratorio";"moledor bulldog";"https://piranha.cl/inicio/223/moledor-plastico-bulldog.html"
0.237;1;1.36;15958;1990;"Blunt Wrap Tequila Lion Rolling Circus | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/6888/blunt-wrap-tequila.html"
0.236;1;3.16;11145;8541;"Moledor Metálico Lion Rolling Circus 5cm 3 Partes | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/7794/moledor-metalico-lion-rolling-circus-5cm-3-partes.html"
0.230;1;2.96;15817;7990;"Bandeja Lion Rolling Circus Medium 30x23cm| PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/7785/bandeja-lion-rolling-circus-medium-30x23cm.html"
0.228;1;0.00;15752;38242;"Bong Classy Bonglab | PIRANHA";10220;2;0;"Purple Rig Purple-Bonglab";"bong bonglab";"https://piranha.cl/inicio/6051/bong-classy-bonglab-color-a-eleccion.html"
0.227;1;1.36;15929;1990;"Blunt Wrap Bubble Gum Lion Rolling Circus | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/6887/blunt-wrap-bubble-gum.html"
0.226;1;2.30;11238;2990;"Filtro Cartón Enrolado OCB";10243;2;1300;"OCB ECO Filtros Slim - GB The Green Brand";"filtro ocb";"https://piranha.cl/inicio/6296/filtro-carton-enrolado-ocb-25u.html"
0.226;1;1.08;16101;2490;"Cajita de Almacenamiento Mini Tin Lion Rolling Circus | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/7779/cajita-de-almacenamiento-mini-tin-lion-rolling-circus.html"
0.226;1;1.48;11147;3990;"Moledor Acrílico Lion Rolling Circus 6cm 3 partes | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/7798/moledor-acrilico-lion-rolling-circus-6cm-3-partes.html"
0.222;1;0.00;918;33921;"Bong Red Drop Micro Rig 16cm sin Quemador";10535;2;0;"Calvo Glass Phantom Rig 22cm";"bong rig";"https://piranha.cl/inicio/6369/bong-calvo-drop-micro-rig-16cm-sin-quemador-color-a-eleccion.html"
0.222;1;8.33;254;22491;"Figura Lion Rolling Circus Bobblehead Ruby | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"lion rolling circus";"https://piranha.cl/inicio/7787/figura-lion-rolling-circus-bobblehead-ruby.html"
0.220;1;0.00;15752;38242;"Bong Classy Bonglab | PIRANHA";10530;2;0;"Difusor Bonglab 18mm";"bong bonglab";"https://piranha.cl/inicio/6051/bong-classy-bonglab-color-a-eleccion.html"
0.219;1;1.53;15839;1990;"Filtros OCB Mentolado 6mm (150u)";10243;2;1300;"OCB ECO Filtros Slim - GB The Green Brand";"filtros ocb";"https://piranha.cl/inicio/6497/filtros-ocb-mentolado-6mm-150u.html"
