sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.40,Otros parafernalia,calvo,calvo,18133,Astro Growshop,8990,Cap Strip -Calvo,https://cdnx.jumpseller.com/astrogrowshop/image/70243186/imagen_1_24155.webp?1764351203,20143,Fumetas,9990,Calvo Glass Cap Direccional,https://cdnx.jumpseller.com/fumetas-store/image/13575990/Calvo-Quartz-direccional__1_.jpg?1632514461,1.11
0.40,Accesorios de extraccion,puffco,puffco,18175,Astro Growshop,109990,Vaporizador New Plus White-Puffco,https://cdnx.jumpseller.com/astrogrowshop/image/71344209/imagen_1_18883.webp?1767365696,34360,Fumetas,104990,Puffco Vaporizador Plus - Tornasol,https://cdnx.jumpseller.com/fumetas-store/image/30108646/vaporizador-puffco-plus-vision.jpg?1670552951,1.05
0.40,Accesorios de extraccion,puffco,puffco,18206,Astro Growshop,99990,Peak Glass-Puffco,https://cdnx.jumpseller.com/astrogrowshop/image/71343705/imagen_1_18997.webp?1767364772,19820,Fumetas,79990,The Peak Bag - Mochila Para Vaporizador Puffco Peak,https://cdnx.jumpseller.com/fumetas-store/image/26784026/The_Peak_Bag_2_960x960.webp?1662174247,1.25
0.40,Encendedores y sopletes,clipper,clipper,19381,Fumetas,6990,Encendedor Clipper Metálico Pansy,https://cdnx.jumpseller.com/fumetas-store/image/53914781/Clipper-Metalico-Pansy-Brillante.jpg?1727565659,31478,Astro Growshop,6990,Clipper Encendedor Metálico Demon Gradient,https://cdnx.jumpseller.com/astrogrowshop/image/77966799/1920_20_281_29.webp?1781818438,1.00
0.40,Encendedores y sopletes,clipper,clipper,19381,Fumetas,6990,Encendedor Clipper Metálico Pansy,https://cdnx.jumpseller.com/fumetas-store/image/53914781/Clipper-Metalico-Pansy-Brillante.jpg?1727565659,31479,Astro Growshop,6990,Clipper Encendedor Metálico Matt Black,https://cdnx.jumpseller.com/astrogrowshop/image/77967513/960.webp?1781819158,1.00
0.40,Encendedores y sopletes,clipper,clipper,19381,Fumetas,6990,Encendedor Clipper Metálico Pansy,https://cdnx.jumpseller.com/fumetas-store/image/53914781/Clipper-Metalico-Pansy-Brillante.jpg?1727565659,31480,Astro Growshop,6990,Clipper Encendedor Metálico Silver Devil,https://cdnx.jumpseller.com/astrogrowshop/image/77967875/1920_20_282_29.webp?1781820039,1.00
0.40,Encendedores y sopletes,clipper,clipper,19384,Fumetas,6990,Encendedor Clipper Metálico Silver,https://cdnx.jumpseller.com/fumetas-store/image/51707422/SILVER.jpg?1723835330,31478,Astro Growshop,6990,Clipper Encendedor Metálico Demon Gradient,https://cdnx.jumpseller.com/astrogrowshop/image/77966799/1920_20_281_29.webp?1781818438,1.00
0.40,Otros parafernalia,hightrip,hightrip,19393,Fumetas,8091,HighTrip Pin Trascendence,https://cdnx.jumpseller.com/fumetas-store/image/76560200/Transcendete-1.jpg?1778615352,33418,Astro Growshop,7990,Pin-Hightrip - CANNABIS LIBRE,https://cdnx.jumpseller.com/astrogrowshop/image/70896012/imagen_1_12208.webp?1766429867,1.01
0.40,Otros parafernalia,hightrip,hightrip,19393,Fumetas,8091,HighTrip Pin Trascendence,https://cdnx.jumpseller.com/fumetas-store/image/76560200/Transcendete-1.jpg?1778615352,33421,Astro Growshop,7990,Pin-Hightrip - HIGH SKULLS 1,https://cdnx.jumpseller.com/astrogrowshop/image/75999486/imagen_1_18973.webp?1776874465,1.01
0.40,Otros parafernalia,hightrip,hightrip,19393,Fumetas,8091,HighTrip Pin Trascendence,https://cdnx.jumpseller.com/fumetas-store/image/76560200/Transcendete-1.jpg?1778615352,33422,Astro Growshop,7990,Pin-Hightrip - HIGH SKULLS 2,https://cdnx.jumpseller.com/astrogrowshop/image/75999487/imagen_1_18978.webp?1776874465,1.01
0.40,Contenedores y estuches,ozeta,ozeta,19403,Fumetas,29990,Ozeta Estuche Mediano x Cali Terpenes,https://cdnx.jumpseller.com/fumetas-store/image/37097552/ozeta-estuche-mediano-rigido-antiolor-cali-terpenes01.webp?1688273627,31642,Astro Growshop,27990,Estuche Mediano -Ozeta - CYAN,https://cdnx.jumpseller.com/astrogrowshop/image/78155549/ESTUCHE_20MEDIANO_20CYAN-OZETA.webp?1782326101,1.07
0.40,Contenedores y estuches,ozeta,ozeta,19403,Fumetas,29990,Ozeta Estuche Mediano x Cali Terpenes,https://cdnx.jumpseller.com/fumetas-store/image/37097552/ozeta-estuche-mediano-rigido-antiolor-cali-terpenes01.webp?1688273627,31643,Astro Growshop,27990,Estuche Mediano -Ozeta - Rosa,https://cdnx.jumpseller.com/astrogrowshop/image/78155550/ESTUCHE_20MEDIANO_20PINK_20OZETA-Photoroom_20_281_29.webp?1782326101,1.07
0.40,Otros parafernalia,hightrip,hightrip,20223,Fumetas,8091,HighTrip Pin Highfries,https://cdnx.jumpseller.com/fumetas-store/image/40558140/Pin-Hightrip-HighFries-Fumetas-Store-2.jpeg?1696611025,33418,Astro Growshop,7990,Pin-Hightrip - CANNABIS LIBRE,https://cdnx.jumpseller.com/astrogrowshop/image/70896012/imagen_1_12208.webp?1766429867,1.01
