score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.410;0;1.00;31030;7990;"Moledor Aluminio 4 Partes 40Mm Bt - Rosa";6471;2;7990;"Moledor Bulldog 40mm 1 piso";"moledor partes 40mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-40mm-bt?variant=Rosa"
0.410;0;1.17;31590;6990;"Glass Cleaner Brillo (30ml, 250ml, 500ml) -Bonglab - 250 ml";10245;1;5990;"Mr Pipe Cleaner 250 ML";"cleaner 250ml 250";"https://astrogrowshop.cl/glass-cleaner-brillo-bonglab?variant=250%20ml"
0.410;0;1.17;77486;6990;"Glass Cleaner Brillo (30ml, 250ml, 500ml) -Bonglab - 250 ML";10245;1;5990;"Mr Pipe Cleaner 250 ML";"cleaner 250ml 250";"https://astrogrowshop.cl/glass-cleaner-brillo-bonglab?variant=250%20ML"
0.407;0;1.55;12450;3990;"Quemador Bong Cuerno Macho 14Mm";10261;3;6200;"Calvo Glass Quemador Perlas - Macho 14mm";"quemador macho 14mm";"https://astrogrowshop.cl/quemador-bong-cuerno-macho-14mm"
0.406;0;1.23;18001;9990;"Summer Pack Pin Ed. Limitada-Bonglab X Hightrip";10495;2;8091;"Hightrip Pin Bongazo";"pin hightrip";"https://astrogrowshop.cl/summer-pack-pin-ed-limitada-bonglab-x-hightrip"
0.404;0;1.34;31786;1000;"BLUNT HEMP WRAPS SABORES - SOULBLIME - FAVORITES";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"blunt hemp wraps sabores";"https://astrogrowshop.cl/blunt-hemp-wraps-sabores-soulblime?variant=FAVORITES"
0.404;0;1.48;2654;14990;"Moledor Aluminio 4 Partes 50MM Bt";6567;3;10100;"Moledor Bulldog Ámsterdam Metálico Silver 4 Partes";"moledor partes 50mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-50mm-bt"
0.403;0;1.55;12631;6990;"Set Terp Balls Para Banger Slurper Ruby Eye";11011;2;4500;"Calvo Terp Balls Luminosas 4mm";"terp balls banger";"https://astrogrowshop.cl/set-terp-balls-para-banger-slurper-ruby-eye"
0.402;0;1.00;31035;7990;"Moledor Aluminio 4 Partes 40Mm Bt - Dorado";6471;2;7990;"Moledor Bulldog 40mm 1 piso";"moledor partes 40mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-40mm-bt?variant=Dorado"
0.399;0;1.23;12492;9990;"Highping Pin Ed. Limitada-Bonglab X Hightrip";10495;2;8091;"Hightrip Pin Bongazo";"pin hightrip";"https://astrogrowshop.cl/highping-pin-ed-limitada-bonglab-x-hightrip"
0.398;0;14.81;12270;39990;"Papelillo Unbleached King Size Slim 50U-Blazy Susan";10273;3;2700;"Papelillos Raw Artesanos King Size Slim";"papelillo king size slim";"https://astrogrowshop.cl/papelillo-unbleached-king-size-slim-50u-blazy-susan"
0.397;0;20.08;2525;49990;"Papelillos Classic King Size Slim 50 Ud-Raw";10369;2;2490;"OCB Roll Kit Virgin King Size";"papelillos king size slim";"https://astrogrowshop.cl/papelillos-classic-king-size-slim-50-ud-raw"
0.393;0;2.77;31044;9990;"Moledor Aluminio 4 Partes 50MM Bt - Negro";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"moledor partes 50mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-50mm-bt?variant=Negro"
0.393;0;1.37;12380;8490;"Quemador Pyrex Abeja Macho 14Mm";10261;3;6200;"Calvo Glass Quemador Perlas - Macho 14mm";"quemador macho 14mm";"https://astrogrowshop.cl/quemador-pyrex-abeja-14mm"
0.392;0;2.77;31039;9990;"Moledor Aluminio 4 Partes 50MM Bt - verde";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"moledor partes 50mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-50mm-bt?variant=verde"
0.392;0;2.77;31040;9990;"Moledor Aluminio 4 Partes 50MM Bt - azul";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"moledor partes 50mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-50mm-bt?variant=azul"
0.389;0;2.77;31038;9990;"Moledor Aluminio 4 Partes 50MM Bt - Morado";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"moledor partes 50mm";"https://astrogrowshop.cl/moledor-aluminio-4-partes-50mm-bt?variant=Morado"
0.387;0;23.66;12270;39990;"Papelillo Unbleached King Size Slim 50U-Blazy Susan";10352;2;1690;"OCB Rice King Size Slim";"papelillo king size slim";"https://astrogrowshop.cl/papelillo-unbleached-king-size-slim-50u-blazy-susan"
0.387;0;1.34;31787;1000;"BLUNT HEMP WRAPS SABORES - SOULBLIME - SWEET VIBES";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"blunt hemp wraps sabores";"https://astrogrowshop.cl/blunt-hemp-wraps-sabores-soulblime?variant=SWEET%20VIBES"
