dist,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
17,"Bandejas y ceniceros",12539,1,10285,8990,"Bandeja Metálica Fly High Grande-Raw",13693,2,,7690,"Bandeja RAW metálica Prepare for Flight - Mediana"
17,"Bongs",13287,2,10466,27990,"Bonglab Bong Tough Beaker 23cm",31742,1,,29990,"Tough Beaker -Bonglab - Verde azulado"
17,"Contenedores y estuches",12154,1,10295,33990,"Jar Negro Magenta 16Oz-Bonglab Re: Stash",35294,2,,35990,"BongLab Contenedor Re:Stash 16oz - Magenta"
17,"Contenedores y estuches",12189,1,10293,25990,"Jar Negro 8Oz-Bonglab Re: Stash",35306,2,,25990,"BongLab Contenedor Re:Stash 8oz - Negro"
17,"Repuestos para bongs y vaporizadores",31345,1,,5990,"Quemador Perlas Macho 18 Mm -Bonglab - CLEAR",33996,2,,4401,"Bonglab Quemador Perlas - Macho 18mm - Transparente"
18,"Accesorios de extraccion",1264,2,10404,8990,"Banger Calvo Flat Bucket 45° - Macho 10mm",32871,1,,7990,"Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/9"
18,"Accesorios de extraccion",1264,2,10404,8990,"Banger Calvo Flat Bucket 45° - Macho 10mm",32872,1,,7990,"Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/9"
18,"Accesorios de extraccion",2149,2,10404,8990,"Banger Calvo Flat Bucket 45° - Macho 14mm",32871,1,,7990,"Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/9"
18,"Accesorios de extraccion",2149,2,10404,8990,"Banger Calvo Flat Bucket 45° - Macho 14mm",32872,1,,7990,"Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/9"
18,"Accesorios de extraccion",3365,3,10119,8990,"Banger Cuarzo Bonglab Simple 90° (14mm/10mm) | PIRANHA",31277,1,,6990,"Banger Cuarzo Simple 90 Grados -Bonglab - 14MM"
18,"Accesorios de extraccion",11055,3,10561,497692,"Vaporizador Puffco New Peak Pro Pearl 3DXL Limited | PI",31794,1,,597990,"New Peak Pro Pearl + 3Dxl-Puffco - Pearl"
18,"Bongs",13186,2,,34990,"Calvo Bong Sphere Dragon Rig 22cm",32719,1,,36990,"Rig Dragon Ball Z -Calvo Glass - Morado"
18,"Bongs",15570,3,10344,56990,"Bong K30",34949,2,,64990,"Bonglab Bong Fresh K30 42cm - Negro"
18,"Bongs",32719,1,,36990,"Rig Dragon Ball Z -Calvo Glass - Morado",34708,2,,31491,"Calvo Bong Sphere Dragon Rig 22cm - Morado"
18,"Contenedores y estuches",19781,2,10571,28821,"Ozeta Estuche Felpudo Pizza - Anti-olor",32847,1,,28990,"Bolso Ywiwis Antiolor-Ozeta - PIZZA"
18,"Filtros y boquillas",32345,1,,14990,"Purize Filtros De Carbon Activado Xtra Slim 50U -Blazy",35476,2,,12990,"Blazy Susan Filtros de carbón activado Xtra Slim 50 uds"
19,"Bongs",915,3,5536,52191,"Bong Beaker Tree Perc 35cm",34431,2,,52191,"Calvo Glass Bong Beaker Tree Perc M 35cm - Negro"
19,"Contenedores y estuches",12187,1,10294,29990,"Jar Negro 12Oz-Bonglab Re: Stash",35286,2,,29990,"BongLab Contenedor Re:Stash 12oz - Negro"
19,"Contenedores y estuches",19778,2,10573,31990,"Ozeta Estuche Felpudo Empanada - Anti-olor",32843,1,,28990,"Bolso Ywiwis Antiolor-Ozeta - EMPANADA"
19,"Repuestos para bongs y vaporizadores",864,3,10261,6990,"Quemador Perlas Calvo 14mm",34774,2,,6490,"Calvo Glass Quemador Perlas - Macho 14mm - Amarillo"
19,"Repuestos para bongs y vaporizadores",31290,1,,3990,"Quemador Macho Simple 10 Mm - Bonglab - CLEAR",34979,2,,3990,"Bonglab Quemador Simple Macho 10mm - Transparente"
20,"Contenedores y estuches",15846,3,10489,24592,"Estuche Anti Olor Dime Bags The Collector con Candado 3",34570,2,,25990,"Dime Bags Estuche Collector Con Clave Anti-Olor 22cm -"
20,"Otros parafernalia",12588,1,10695,26990,"White Shirt Smoker Life Xl-Bonglab",36508,2,,21990,"Polera Bonglab Smoker Life - L"
20,"Otros parafernalia",12588,1,10695,26990,"White Shirt Smoker Life Xl-Bonglab",36510,2,,21990,"Polera Bonglab Smoker Life - XXL"
20,"Otros parafernalia",12588,1,10695,26990,"White Shirt Smoker Life Xl-Bonglab",36511,2,,21990,"Polera Bonglab Smoker Life - M"
20,"Otros parafernalia",23989,1,10607,32990,"Button Smell Proof Black-Dime Bags",35706,2,,29990,"Dime Bags The Button Bandolera Con Clave Anti-Olor - Ne"
20,"Otros parafernalia",25983,2,,73980,"Dr. Greenthumb&#39;s X Stündenglass Wall Mount",33407,1,,71990,"Wall Mount -Stundenglass - SR GREENTHUMBS"
20,"Pipas",9052,1,6010,1990,"Hitter Signature- Calvo Glass",35312,2,,1990,"Calvo Pipa Hitter 12mm - Negro"
20,"Repuestos para bongs y vaporizadores",14207,3,10257,6990,"Quemador Macho Perlas Bonglab 18mm | PIRANHA",31338,1,,5990,"Quemador Perlas Macho 18 Mm -Bonglab - verde"
20,"Repuestos para bongs y vaporizadores",15612,3,,25990,"Atrapaceniza Perc 14mm90º",32159,1,,24990,"Atrapa Ceniza Perc 14Mm -Bonglab - Verde"
20,"Repuestos para bongs y vaporizadores",31341,1,,5990,"Quemador Perlas Macho 18 Mm -Bonglab - AMBAR",33994,2,,4401,"Bonglab Quemador Perlas - Macho 18mm - Ámbar"
20,"Vaporizadores herbales",734,1,9244,304990,"Vaporizador Da Vinci Iq3 (Onyx/Blue/Purple/Grey)",34079,2,,299990,"Vaporizador DaVinci IQ3 - Negro"
