productId,productName,category,brandKey,existingStores,query,score,state,hitTitle,hitUrl,hitPrice,refPrice,priceRatio,offerId,linkedProductId,hitImage
5741,Vaporizador Crafty+ Plus,Vaporizadores herbales,storz-bickel,Fumetas | GrowBarato Chile | Astro Growshop | Piranha,plus,0.69,vinculada-a-otro,PAX PLUS KIT INICIO,https://www.kushbreak.cl/pax-plus-kit-inicio,199990,275143,1.38,69036,10862,https://cdnx.jumpseller.com/kushbreak-growshop/image/63698803/resize/255/255?1747953818
5741,Vaporizador Crafty+ Plus,Vaporizadores herbales,storz-bickel,Fumetas | GrowBarato Chile | Astro Growshop | Piranha,plus,0.69,vinculada-a-otro,Pax Plus Kit Completo,https://www.kushbreak.cl/vaporizador-pax-plus-complete-kit-cannabis,249990,275143,1.1,69305,10864,https://cdnx.jumpseller.com/kushbreak-growshop/image/63698896/resize/255/255?1747954052
10107,Banger Regular Full Weld 14 mm Calvo Glass,Accesorios de extraccion,calvo,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,banger,0.66,huerfana-existente,Genius Pipe Oil banger,https://www.kushbreak.cl/genius-pipe-classic-oil-banger,44990,19535,2.3,69261,,https://cdnx.jumpseller.com/kushbreak-growshop/image/3836435/resize/255/255?1679515239
5463,Papel de fumar de cáñamo orgánico 1 1/4 OCB,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,organico,0.66,vinculada-a-otro,Papelillos Organic Hemp 1 1/4 RAW®,https://www.kushbreak.cl/papelillos-organic-hemp-1-1/4-raw,990,818,1.21,69342,10868,https://cdnx.jumpseller.com/kushbreak-growshop/image/2587128/resize/255/255?1679515229
10083,OCB Premium 1.1/4 + Tips,Papelillos,ocb,Piranha | GrowBarato Chile | Astro Growshop | Fumetas,premium,0.66,huerfana-existente,Smoking Papelillos Deluxe 1 1/4 + Tips,https://www.kushbreak.cl/smoking-papelillos-deluxe-tips,1500,1918,1.28,69020,,https://cdnx.jumpseller.com/kushbreak-growshop/image/47057797/resize/255/255?1711570881
5464,Papelillo RAW Classic Black 1 1/4 | PIRANHA,Papelillos,raw,Fumetas | Piranha | Astro Growshop | GrowBarato Chile,black,0.66,url-no-scrapeada,Black dream x3,https://www.kushbreak.cl/black-dream-semillas-eva-seeds-cannabis,20990,1068,19.65,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/7166511/resize/255/255?1679515251
5464,Papelillo RAW Classic Black 1 1/4 | PIRANHA,Papelillos,raw,Fumetas | Piranha | Astro Growshop | GrowBarato Chile,black,0.66,url-no-scrapeada,Auto Sugar Black Rose,https://www.kushbreak.cl/auto-sugar-black-rose,8990,1068,8.42,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2556465/resize/255/255?1679515228
5773,Classic Ice 26Cm-Bonglab,Bongs,bonglab,Astro Growshop | Piranha | GrowBarato Chile | Fumetas,classic,0.64,huerfana-existente,Grav Sherlock classic,https://www.kushbreak.cl/grav-sherlock-classic-pipa-vidrio,25990,24168,1.08,69106,,https://cdnx.jumpseller.com/kushbreak-growshop/image/10970723/resize/255/255?1679515256
10240,Gas Butano 300Ml-Zengaz,Encendedores y sopletes,zengaz,GrowBarato Chile | Astro Growshop | Fumetas | Piranha,butano,0.61,huerfana-existente,Gas Ronson®,https://www.kushbreak.cl/gas-ronson-butano-recarga-encendedores-sopletes,4990,4043,1.23,69007,,https://cdnx.jumpseller.com/kushbreak-growshop/image/23353551/resize/255/255?1679515266
10240,Gas Butano 300Ml-Zengaz,Encendedores y sopletes,zengaz,GrowBarato Chile | Astro Growshop | Fumetas | Piranha,butano,0.61,huerfana-existente,Gas Clipper®,https://www.kushbreak.cl/gas-butano-clipper-encendedores,4990,4043,1.23,69016,,https://cdnx.jumpseller.com/kushbreak-growshop/image/13179759/resize/255/255?1679515258
