offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;ejemplosDestino;lastSeenAt;url
485;piranha;lion-rolling-circus;"Filtro Prerolled Lion Rolling Circus";2490;Filtros y boquillas;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/605/filtro-prerolled-6mm-lion-rolling-circus-505u.html
379;piranha;lion-rolling-circus;"Papelillo Mind Mint 1 1/4 Lion Rolling Circus | PIRANHA";1226;Papelillos;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/6897/papelillo-mind-mint-1-14-lion-rolling-circus.html
80788;piranha;lion-rolling-circus;"Papelillo Funky Chocolate 1 1/4 Lion Rolling Circus | PIRANHA";1226;Papelillos;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/6896/papelillo-funky-chocolate-1-14-lion-rolling-circus.html
15734;piranha;lion-rolling-circus;"Papelillo Crazy Coco Lion Rolling Circus";1226;Papelillos;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/1474/papelillo-crazy-coco-1-14-lion-rolling-circus.html
15763;piranha;lion-rolling-circus;"Papelillo Chewing Madness 1 1/4 Lion Rolling Circus | PIRANHA";1226;Papelillos;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/6895/papelillo-chewing-madness-1-14-lion-rolling-circus.html
15684;piranha;lion-rolling-circus;"Blunt Wrap Grape Lion Rolling Circus | PIRANHA";1990;Conos y blunts;2;P10709:celulosa-transparente-big-smoke(2t) P10564:tattoo-pequena(2t);2026-07-27;https://piranha.cl/inicio/7776/blunt-hemp-wrap-grape-lion-rolling-circus-2u.html
11238;piranha;ocb;"Filtro Cartón Enrolado OCB";2990;Filtros y boquillas;4;P10243:paper-filter-slim(2t) P10870:regular-7-5mm(2t) P10851:pre-roll-premium-king-size-slim-3u(2t);2026-07-27;https://piranha.cl/inicio/6296/filtro-carton-enrolado-ocb-25u.html
15805;piranha;ocb;"Filtros OCB Virgin Slim 6mm (150u)";1990;Filtros y boquillas;4;P10243:paper-filter-slim(2t) P10870:regular-7-5mm(2t) P10851:pre-roll-premium-king-size-slim-3u(2t);2026-07-27;https://piranha.cl/inicio/6495/filtros-ocb-virgin-slim-6mm-150u.html
11244;piranha;ocb;"Máquina Enroladora Metálica OCB Nº1";6490;Otros parafernalia;4;P10243:paper-filter-slim(2t) P10870:regular-7-5mm(2t) P10851:pre-roll-premium-king-size-slim-3u(2t);2026-07-27;https://piranha.cl/inicio/6491/maquina-enroladora-metalica-ocb-n1.html
11245;piranha;ocb;"Filtros OCB Regular 7.5mm (100u)";1790;Filtros y boquillas;4;P10243:paper-filter-slim(2t) P10870:regular-7-5mm(2t) P10851:pre-roll-premium-king-size-slim-3u(2t);2026-07-27;https://piranha.cl/inicio/6493/filtros-ocb-regular-75mm-100u.html
