id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5418,Papelillos RAW Classic King Size Slim - Sabanas,Papelillos,RAW,raw,paper-classic-king-size-slim-king-size-slim,classic-king-size-slim,/productos/raw/classic-king-size-slim,3,3,Fumetas | GrowBarato Chile | Piranha,990,1290,30,Fumetas,Piranha,true,true,2026-05-18T07:08:18.020Z,"Papelillos RAW Classic King Size Slim - Sabanas | RAW King Size Slim, papel de fumar | Papelillos RAW Classic King Size Slim | PIRANHA"
5464,Papelillo RAW Classic Black 1 1/4 | PIRANHA,Papelillos,RAW,raw,paper-1-1-4-1-1-4,black,/productos/raw/black,4,3,Astro Growshop | Fumetas | Piranha,990,1350,36,Piranha,Fumetas,true,true,2026-05-18T07:03:46.509Z,Papelillo RAW Classic Black 1 1/4 | PIRANHA | Papelillos Black 1 1/4 1 Ud-Raw | Papelillos RAW Black 1 1/4 | Papelillos Raw Black Connoisseur 1 1/4 + Tips
5465,Papelillos RAW Black Organic Hemp 1 1/4,Papelillos,RAW,raw,paper-black-organic-hemp-1-1-4,black-organic-hemp,/productos/raw/black-organic-hemp,3,3,Astro Growshop | Fumetas | Piranha,990,1190,20,Piranha,Astro Growshop,true,true,2026-05-18T07:03:43.223Z,Papelillo RAW Black Organic Hemp 1 1/4 | PIRANHA | Papelillos RAW Black Organic Hemp 1 1/4 | Papelillos Black Organic Hemp 1 1/4 1 Ud-Raw
5724,Encendedor Jet Flame Jet Hippie World Clipper,Encendedores y sopletes,CLIPPER,clipper,torch-lighter-jet-flame,torch-lighter-jet-flame,/productos/clipper/torch-lighter-jet-flame,23,3,Astro Growshop | Fumetas | GrowBarato Chile,990,1592,61,Astro Growshop,Fumetas,true,true,2026-05-18T06:55:46.994Z,Encendedor Jet Flame Jet Good Vibes Only Clipper | Encendedor Jet Flame Jet Hippie World Clipper | Encendedor Jet Flame Con Tapa Modelos variados- Clipper | Encendedor Clipper Jet Flame Crystal Fluo – Unidad | Llama Jet | Encendedor Clipper Jet Flame Ink 4 Life | Encendedor Clipper Jet Flame Gradient 3 | Encendedor Clipper Jet Flame Psychodelic 2 | Encendedor Clipper Jet Flame Good Vibes Only | Encendedor Clipper Jet Flame Galactic Weed | Encendedor Clipper Jet Flame Head Bones | Encendedor Clipper Jet Flame Print Weed | Encendedor Clipper Jet Flame Rainbow Mush | Encendedor Clipper Jet Flame Rotten Burgers | Encendedor Clipper Jet Flame Shiny Assorted | Encendedor Clipper Jet Flame Skull Drinks | Encendedor Clipper Jet Flame Topo Expressions | Encendedor Clipper Jet Flame CozySkulls | Encendedor Clipper Jet Flame HippieWorld | Encendedor Clipper Jet Flame Mandaleaves | Encendedor Clipper Jet Flame Ravetrip | Encendedor Jet Flame Jet Galactic Weed Clipper | Encendedor Jet Flame Jet Horror Zoo Clipper | Encendedor Clipper Jet Flame Horror Zoo
5719,Filtros Gizeh Slim Rojo con pegamento (120+30) 6mm,Filtros y boquillas,Gizeh,gizeh,gummed-tip-slim-red-6mm-150u,gummed-tip-slim-red-6mm-150u,/productos/gizeh/gummed-tip-slim-red-6mm-150u,2,2,Fumetas | Piranha,990,1390,40,Fumetas,Piranha,true,true,2026-05-18T06:55:41.653Z,Filtros Gizeh Slim Rojo con pegamento (120+30) 6mm | Filtro Gizeh Slim Rojo con Pegamento 6x15mm (120+30u)
5729,Encendedor Clipper The Bulldog Amsterdam,Encendedores y sopletes,Clipper,the-bulldog,lighter-classic,lighter-classic,/productos/the-bulldog/lighter-classic,2,2,Fumetas | GrowBarato Chile,990,1000,1,Fumetas,GrowBarato Chile,true,true,2026-05-09T06:59:40.797Z,Encendedor Clipper The Bulldog Amsterdam | Encendedor Clipper Bulldog Ámsterdam - GB The Green Brand
5725,Encendedor Clipper Racoons,Encendedores y sopletes,Clipper,clipper,lighter-classic,lighter-classic,/productos/clipper/lighter-classic,19,3,Fumetas | GrowBarato Chile | Piranha,990,1190,20,Fumetas,Piranha,true,true,2026-05-09T06:35:54.829Z,Encendedor Clipper Crystal 12 | Encendedor Clipper Winter Plans 2 | Encendedor Clipper Racoons | Encendedor Clipper Space Area 4 | Encendedor Clipper Zombie Force | Encendedor Clipper Space Area 3 | Encendedor Clipper Space Area 1 | Encendedor Clipper Space Area 2 | Encendedor Clipper Dino Sports | Encendedor Clipper Winter Plans 1 | Encendedor Clipper Horror Days 1 | Encendedor Clipper Taroting 2 | Encendedor Clipper Monsters 1 | Encendedor Clipper Cocodrilos - Finger Up Animals 3 | Encendedor Clipper Sun is Shinning 2 | Encendedor Clipper Wall Of Fame 2 | Encendedor Clipper GB The Green Brand - GB The Green Brand | Encendedor Clipper varios modelos disponibles | Encendedor Clipper x Piranha
5703,Blunt Wrap Platinum x2,Conos y blunts,Blunt Wrap,blunt-wrap,wrap-platinum-2u,wrap-platinum-2u,/productos/blunt-wrap/wrap-platinum-2u,3,2,Astro Growshop | Fumetas,990,990,0,Astro Growshop,Astro Growshop,true,true,2026-05-09T06:26:26.021Z,BLUNT PLATINUM X2 SABOR WHITE GRAPE | Platinium X2 Bubble Gum 1U- Blunt Wrap | Blunt Wrap Platinum x2
5424,Papelillo Slim Ultimate King Size- Ocb,Papelillos,OCB,ocb,paper-king-size-king-size-slim,ultimate-king-size-slim,/productos/ocb/ultimate-king-size-slim,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1090,2590,138,Astro Growshop,Piranha,true,true,2026-05-18T06:46:00.177Z,Papelillo Slim Ultimate King Size- Ocb | OCB Slim Ultimate de origen orgánico | OCB Papelillos Ultimate Slim King Size | Papelillo OCB Negro King Size Slim | Papelillo OCB Ultimate Rolls Slim | PIRANHA
5425,OCB Papelillos X-pert Slim King Size,Papelillos,OCB,ocb,paper-king-size-king-size-slim,x-pert-king-size-slim,/productos/ocb/x-pert-king-size-slim,3,3,Fumetas | GrowBarato Chile | Piranha,1200,1990,66,GrowBarato Chile,Piranha,true,true,2026-05-18T07:08:13.778Z,OCB Premium Slim King Size 32 hojas | OCB Papelillos X-pert Slim King Size | Papelillo OCB Xpert King Size Slim| PIRANHA
5713,Conos Bulldog Reefer 1 1/4 (6u),Conos y blunts,BULLDOG,the-bulldog,pre-roll-1-1-4-6u,pre-roll-1-1-4-6u,/productos/the-bulldog/pre-roll-1-1-4-6u,2,2,Fumetas | Piranha,1467,1990,36,Piranha,Fumetas,true,true,2026-05-09T05:57:46.626Z,Conos Bulldog Reefer 1 1/4 (6u) | Bulldog 6 Conos Pre-enrolados 1 1/4
